Altium Designer Pick and Place Locations
D:\Radio\Jobe\LED_Driver_ETH\PCB\controlPCB\Project Outputs for ControlPCB\Pick Place\Pick Place for ControlPCB.txt

========================================================================================================================
File Design Information:

Date:       13.05.23
Time:       11:33
Revision:   f1c8550a0ee8d905f7b772ca5a636044df4b320d
Variant:    No variations
Units used: mm

Designator Comment           Layer       Center-X(mm) Center-Y(mm) Rotation Description                                                                             
R12        4.7k              TopLayer    25.9750mm    27.7250mm    360      Resistor                                                                                
R11        4.7k              TopLayer    26.1000mm    26.0250mm    0        Resistor                                                                                
R39        510R              TopLayer    22.0000mm    34.2250mm    180      Resistor                                                                                
X5         25Mhz             TopLayer    25.4000mm    82.3250mm    270      ""                                                                                      
X4         12Mhz             TopLayer    14.6250mm    38.6500mm    270      ""                                                                                      
X3         PLS-5             TopLayer    47.2500mm    14.2350mm    270      "Header, 5-Pin"                                                                         
R10        "0603 1k"         TopLayer    42.8000mm    39.1750mm    360      ""                                                                                      
R9         "0603 3k"         TopLayer    28.8750mm    37.7750mm    180      ""                                                                                      
C1         "220uF 50v"       TopLayer    43.4250mm    58.1750mm    180      "Polarized Capacitor (Rad)"                                                             
XP3        UART              TopLayer    15.7575mm    7.2250mm     180      Ter120                                                                                  
C20        "0603 0.1uF"      TopLayer    25.4750mm    77.6250mm    270      ""                                                                                      
X2         PLD-10R           TopLayer    9.5800mm     85.6200mm    90       "Header, 5-Pin, Dual row"                                                               
XP2        "reset setings"   TopLayer    24.8150mm    7.2250mm     360      Ter120                                                                                  
XP1        Battery           TopLayer    6.7000mm     7.2250mm     360      ""                                                                                      
X1         PBD-10R           TopLayer    44.3700mm    85.6200mm    270      "Header, 5-Pin, Dual row"                                                               
VR1        LM1117MPX-3.3     TopLayer    33.6750mm    32.5000mm    270      "800-mA 15-V linear voltage regulator"                                                  
VD4        ""                TopLayer    37.6000mm    8.3750mm     180      ""                                                                                      
VD3        ""                TopLayer    37.6000mm    15.0250mm    180      ""                                                                                      
VD2        ""                TopLayer    37.6000mm    11.7000mm    180      ""                                                                                      
VD1        ""                TopLayer    43.1000mm    93.4250mm    180      ""                                                                                      
U1         STM32F407V        TopLayer    12.8000mm    24.4500mm    270      "ARMA® CortexA®-M4 STM32F3 Microcontroller IC 32-Bit 72MHz 100-LQFP (14x14)"            
S2         SW-DIP4           TopLayer    20.3500mm    91.2500mm    90       "DIP Switch"                                                                            
S1         SW-DIP4           TopLayer    32.3250mm    91.2500mm    90       "DIP Switch"                                                                            
R38        "0603 1,5k"       BottomLayer 18.4500mm    56.4250mm    90       Резистор                                                                                
R37        "0603 1,5k"       BottomLayer 5.1250mm     56.4250mm    90       Резистор                                                                                
R36        "0603 220 Ом"     BottomLayer 13.3750mm    61.3000mm    270      "Резистор SMD R0603"                                                                    
R35        "0603 33R"        TopLayer    7.3000mm     36.9000mm    90       Резистор                                                                                
R34        "0603 220 Ом"     BottomLayer 10.2250mm    61.4500mm    270      "Резистор SMD R0603"                                                                    
R33        "0603 12.1k"      TopLayer    22.3250mm    77.0250mm    270      Резистор                                                                                
R32        "0603 33R"        BottomLayer 10.2250mm    27.3500mm    360      Резистор                                                                                
R31        "0603 10k"        TopLayer    13.6000mm    86.9500mm    270      Резистор                                                                                
R30        "0603 33R"        BottomLayer 10.2250mm    24.4500mm    360      Резистор                                                                                
R29        "0603 33R"        BottomLayer 10.2250mm    25.9000mm    360      Резистор                                                                                
R28        "0603 50R"        TopLayer    13.9000mm    76.9500mm    360      Резистор                                                                                
R27        "0603 50R"        TopLayer    11.0750mm    76.9500mm    180      Резистор                                                                                
R26        "0603 50R"        TopLayer    20.0000mm    76.9500mm    360      Резистор                                                                                
